draw,seats,natl,AK,AL,AR,AZ,CO,DE,GA,GA-S,IA,ID,IL,KS,KY,LA,MA,ME,MI,MN,MS,MT,NC,NE,NH,NJ,NM,OK,OR,RI,SC,SD,TN,TX,VA,WV,WY
2549,50,0.538734,0.491455,0.399507,0.354704,0.50623,0.586757,0.695286,0.486242,0.498147,0.494675,0.384491,0.617666,0.452701,0.490664,0.428481,0.689701,0.549443,0.584371,0.515784,0.463897,0.371583,0.471939,0.261471,0.558641,0.608373,0.554311,0.339304,0.605927,0.751395,0.449296,0.42842,0.363812,0.474005,0.588977,0.355074,0.290692
2550,59,0.572377,0.535831,0.528921,0.460656,0.587464,0.561256,0.70143200000000006,0.588082,0.538432,0.517909,0.417021,0.695685,0.48489,0.467724,0.405215,0.668988,0.577785,0.574345,0.632201,0.515771,0.598235,0.634312,0.419837,0.659131,0.690067,0.58433,0.494481,0.673108,0.7579,0.527267,0.409938,0.464659,0.491124,0.672684,0.429759,0.361698
2551,52,0.549481,0.518173,0.45337,0.446509,0.510714,0.604148,0.711141,0.494522,0.483475,0.479397,0.375773,0.677093,0.508581,0.470742,0.366576,0.653682,0.52048,0.55889,0.53166,0.46957,0.380119,0.470202,0.31382,0.56327,0.675172,0.543112,0.345239,0.647668,0.759829,0.491662,0.370182,0.385617,0.476895,0.552162,0.429588,0.326686
2552,53,0.55515,0.493527,0.421654,0.349879,0.574178,0.573068,0.725081,0.457856,0.5128,0.461551,0.393824,0.672162,0.457413,0.469324,0.436073,0.662905,0.546117,0.495157,0.600583,0.538451,0.439303,0.497708,0.376415,0.597287,0.698858,0.550349,0.316969,0.663127,0.717149,0.550824,0.409375,0.433297,0.512047,0.616062,0.384653,0.349628
2553,57,0.542703,0.509316,0.482123,0.503056,0.488185,0.578307,0.688926,0.550018,0.527326,0.541075,0.304187,0.715362,0.517824,0.442906,0.402147,0.717461,0.552389,0.636287,0.57935,0.410281,0.519237,0.529592,0.325774,0.601601,0.66493,0.562504,0.455609,0.543108,0.760616,0.460671,0.392132,0.462212,0.431748,0.596272,0.42384,0.376508
2554,48,0.530466,0.426796,0.391672,0.303683,0.538508,0.507449,0.675549,0.412491,0.468641,0.415287,0.432821,0.60562,0.403397,0.445443,0.398952,0.630198,0.488537,0.479445,0.517545,0.425379,0.488123,0.523928,0.343727,0.563356,0.600823,0.492784,0.311268,0.647869,0.700683,0.480549,0.413907,0.373009,0.47146,0.608901,0.363812,0.281588
2555,50,0.526129,0.455112,0.367096,0.379133,0.529243,0.514038,0.686829,0.44645,0.494476,0.416533,0.412069,0.624013,0.397361,0.469902,0.403303,0.625391,0.482339,0.510657,0.511991,0.363279,0.487124,0.515233,0.307376,0.519537,0.556231,0.510724,0.334165,0.653019,0.650645,0.47048,0.424939,0.349812,0.480709,0.612431,0.30688,0.299314
2556,53,0.538783,0.448266,0.500759,0.475105,0.505123,0.622075,0.668784,0.521542,0.484452,0.486536,0.397335,0.722074,0.49501,0.458827,0.403227,0.706407,0.526198,0.559458,0.577807,0.498079,0.466271,0.530686,0.322632,0.653455,0.631677,0.515374,0.413709,0.613802,0.782455,0.434627,0.354966,0.350037,0.470511,0.636462,0.386809,0.329681
2557,53,0.533528,0.494458,0.392949,0.359627,0.511231,0.52016,0.666459,0.489796,0.514733,0.506943,0.380897,0.577375,0.441874,0.414612,0.374339,0.666762,0.559072,0.555327,0.547088,0.415882,0.463561,0.510612,0.317285,0.551918,0.655687,0.611462,0.367996,0.681845,0.690092,0.449462,0.415831,0.38608,0.47380100000000003,0.549342,0.346373,0.368314
2558,47,0.509296,0.466355,0.37488,0.360775,0.504918,0.47245,0.653673,0.48519,0.452241,0.487889,0.343621,0.627026,0.40749,0.377245,0.342938,0.619388,0.497594,0.5108,0.485024,0.456623,0.415911,0.486814,0.275176,0.573174,0.636744,0.569612,0.336879,0.608436,0.822325,0.458936,0.404741,0.38197,0.469733,0.507819,0.321806,0.317465
